step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,13.026836549935718,0,0.0,0.950271067172986,0,0.0
10.0,0,0.0,0.0,11.675766278233453,0,0.0,0.8690692040854939,0,0.0
15.0,6,10.0,0.5555555555555556,5.423493756919779,6,10.0,0.35705415353680087,6,10.0
20.0,10,57.0,3.1666666666666665,5.823631653173973,10,57.0,0.3398016323177738,10,57.0
25.0,7,70.0,2.9166666666666665,5.122954997140769,7,84.0,0.3140873829755747,7,84.0
30.0,8,106.0,4.818181818181818,7.652424038826226,8,108.0,0.4218145909533976,8,108.0
35.0,9,136.0,5.230769230769231,6.460288939449517,9,138.0,0.30983529936459003,9,138.0
40.0,12,192.0,7.111111111111111,6.752211014353325,12,194.0,0.37623128773310904,12,194.0
45.0,15,260.0,8.666666666666666,5.926461043049356,15,262.0,0.33727420684257853,15,262.0
50.0,16,271.0,9.678571428571429,3.0196152191004972,16,273.0,0.20613377453956255,16,273.0
55.0,22,372.0,11.625,3.035424892941282,22,374.0,0.17464482851813798,22,374.0
60.0,18,336.0,10.5,2.576686258039166,18,427.0,0.1229464782367637,18,427.0
65.0,12,303.0,8.416666666666666,4.624145400671846,12,407.0,0.23272136197706036,12,407.0
70.0,16,369.0,10.25,4.054036208204266,16,473.0,0.1696125040518396,16,473.0
75.0,23,465.0,10.333333333333334,4.451100144753469,23,569.0,0.2819575027842881,23,569.0
80.0,24,539.0,12.833333333333334,3.6602031289033556,24,639.0,0.2585164103602601,24,639.0
85.0,19,575.0,11.979166666666666,4.0417098866242585,19,653.0,0.20644204076651085,19,653.0
90.0,22,677.0,14.104166666666666,5.581154713953096,22,705.0,0.22380086400177257,22,705.0
95.0,23,770.0,16.041666666666668,4.426572152175226,23,798.0,0.176854885579323,23,798.0
100.0,30,905.0,21.046511627906977,2.8142071257305394,30,933.0,0.1389804535280748,30,933.0
105.0,28,809.0,17.58695652173913,2.376491292138789,28,982.0,0.11792425005910412,28,982.0
110.0,28,886.0,17.72,4.084354927120488,28,977.0,0.23015852978776552,28,977.0
115.0,31,1032.0,19.846153846153847,3.6431588476367147,31,1105.0,0.17272922873299423,31,1105.0
120.0,38,1212.0,24.24,1.696850722115471,38,1285.0,0.08791232923823752,38,1285.0
125.0,39,1253.0,24.568627450980394,1.530794924095437,39,1422.0,0.09259366835981045,39,1422.0
130.0,31,1183.0,22.32075471698113,2.5504553192623325,31,1475.0,0.100936901856304,31,1475.0
135.0,29,1231.0,21.596491228070175,4.680722885689929,29,1468.0,0.18353068937127198,29,1468.0
140.0,25,1342.0,24.4,5.22537011930557,25,1470.0,0.19395719720749333,25,1470.0
145.0,23,1303.0,23.267857142857142,5.381012723344203,23,1502.0,0.2842519382889509,23,1502.0
150.0,22,1350.0,24.545454545454547,5.102609938168164,22,1492.0,0.2849562024607415,22,1492.0
155.0,30,1487.0,28.056603773584907,3.868285428892327,30,1570.0,0.12062297732901113,30,1570.0
160.0,39,1666.0,30.85185185185185,3.285495191755928,39,1749.0,0.11869383780944574,39,1749.0
