step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,12.250673956346397,0,0.0,0.8940328973024395,0,0.0
10.0,0,0.0,0.0,11.76040974888024,0,0.0,0.8702061621180238,0,0.0
15.0,4,10.0,0.5555555555555556,7.680419558908806,4,10.0,0.44314569479395044,4,10.0
20.0,7,42.0,2.3333333333333335,7.630647847613795,7,42.0,0.42256910714878093,7,42.0
25.0,8,78.0,3.391304347826087,5.809381995044762,8,78.0,0.3219662825770914,8,78.0
30.0,9,93.0,4.894736842105263,5.098321563372946,9,100.0,0.3501385375579917,9,100.0
35.0,12,144.0,6.260869565217392,5.858610714364759,12,144.0,0.22845641270368575,12,144.0
40.0,7,94.0,3.2413793103448274,7.381239136089996,7,154.0,0.397300720101694,7,154.0
45.0,2,64.0,2.206896551724138,8.887432803920488,2,94.0,0.5474043814897189,2,94.0
50.0,5,81.0,2.793103448275862,7.859926784422998,5,111.0,0.37095536137619733,5,111.0
55.0,11,128.0,4.571428571428571,5.572002989644863,11,158.0,0.2564416886866418,11,158.0
60.0,14,107.0,4.458333333333333,3.297504695774999,14,137.0,0.13949205024294076,14,137.0
65.0,18,191.0,6.821428571428571,3.530787057971518,18,221.0,0.20045760711018104,18,221.0
70.0,16,231.0,8.25,2.8528459094369905,16,277.0,0.13101549586694905,16,277.0
75.0,20,323.0,8.5,5.851035059266405,20,353.0,0.33025490138049685,20,353.0
80.0,20,423.0,11.131578947368421,5.608834534918462,20,453.0,0.29132847571096104,20,453.0
85.0,25,535.0,13.375,3.688902431806426,25,565.0,0.1813577839331325,25,565.0
90.0,24,437.0,11.5,2.1155516317889482,24,601.0,0.08447333373473553,24,601.0
95.0,18,213.0,5.195121951219512,4.283126593455858,18,543.0,0.20859871743489422,18,543.0
100.0,17,136.0,3.238095238095238,3.290268687841295,17,623.0,0.11795329432201924,17,623.0
105.0,17,172.0,4.195121951219512,2.5869039826064117,17,711.0,0.16434438091082498,17,711.0
110.0,19,209.0,4.543478260869565,2.9200938220604447,19,711.0,0.19838724878268332,19,711.0
115.0,16,238.0,4.958333333333333,4.51960283750683,16,587.0,0.23769863902608449,16,587.0
120.0,16,280.0,5.6,4.310464643900233,16,495.0,0.1258774945788057,16,495.0
125.0,20,351.0,7.163265306122449,4.039005393395828,20,581.0,0.17999592964339015,20,581.0
130.0,23,453.0,9.847826086956522,2.2970950925842604,23,686.0,0.1276582736703817,23,686.0
135.0,27,373.0,7.770833333333333,2.1540649068446687,27,728.0,0.14786770911362498,27,728.0
140.0,31,493.0,9.86,2.4987487480184054,31,749.0,0.08664895354231025,31,749.0
145.0,38,669.0,11.946428571428571,3.604565449576106,38,903.0,0.12656971715981896,38,903.0
