step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,13.488465173081737,0,0.0,0.9421371352627995,0,0.0
10.0,0,0.0,0.0,11.99683690774936,0,0.0,0.8386385202803144,0,0.0
15.0,4,11.0,0.6111111111111112,6.649860837701728,4,11.0,0.3906220934134451,4,11.0
20.0,9,51.0,3.0,6.020007861738292,9,51.0,0.3899263437283961,9,51.0
25.0,6,69.0,3.2857142857142856,5.31959839560307,6,77.0,0.38503301495426956,6,77.0
30.0,8,107.0,5.095238095238095,7.442786986738427,8,107.0,0.41112059941561535,8,107.0
35.0,7,130.0,5.2,6.855841272727985,7,130.0,0.3473570015515298,7,130.0
40.0,10,174.0,6.444444444444445,7.506940037970249,10,174.0,0.4451025485604451,10,174.0
45.0,10,162.0,5.785714285714286,6.196854710763818,10,162.0,0.3967684270454606,10,162.0
50.0,15,225.0,8.653846153846153,4.212799910392115,15,225.0,0.25279221221077286,15,225.0
55.0,12,137.0,4.566666666666666,4.4789869184704,12,221.0,0.2597282542837957,12,221.0
60.0,14,195.0,6.964285714285714,5.022897112222522,14,195.0,0.17699288898528745,14,195.0
65.0,12,115.0,3.3823529411764706,5.787125913378282,12,209.0,0.25254414710879475,12,209.0
70.0,4,57.0,1.9,6.1414713570892605,4,155.0,0.2580720220517178,4,155.0
75.0,8,88.0,2.3157894736842106,6.958998434789379,8,166.0,0.4207287747344228,8,166.0
80.0,13,145.0,4.393939393939394,5.065627124496983,13,223.0,0.35943678416330443,13,223.0
85.0,20,233.0,6.297297297297297,3.5308337077122274,20,311.0,0.2318753946267689,20,311.0
90.0,23,185.0,5.0,2.735479594843553,23,349.0,0.14850758868650216,23,349.0
95.0,25,287.0,7.0,4.226113389563075,25,376.0,0.17163588376343744,25,376.0
100.0,25,412.0,10.048780487804878,4.124639462520512,25,490.0,0.09186104519760231,25,490.0
105.0,25,484.0,11.804878048780488,4.126976276694507,25,590.0,0.1775539837931416,25,590.0
110.0,26,610.0,14.186046511627907,3.434897820720378,26,688.0,0.15914425158213782,26,688.0
115.0,31,763.0,17.74418604651163,3.4255446708636086,31,841.0,0.18955667738905627,31,841.0
120.0,29,899.0,21.926829268292682,1.6529661101255537,29,977.0,0.1109407843132585,29,977.0
125.0,36,1066.0,23.68888888888889,2.12574982507428,36,1144.0,0.07569780969828739,36,1144.0
130.0,40,1254.0,26.680851063829788,1.6358255671880555,40,1332.0,0.045550743121031405,40,1332.0
135.0,35,1099.0,23.382978723404257,1.6086024478914223,35,1375.0,0.06654751146247431,35,1375.0
140.0,27,707.0,15.369565217391305,3.021050273100812,27,1265.0,0.10980889799253671,27,1265.0
145.0,16,289.0,5.666666666666667,4.179252851674971,16,1329.0,0.2171900259957066,16,1329.0
150.0,16,138.0,2.76,4.568536084889907,16,1378.0,0.23152911163038115,16,1378.0
155.0,13,78.0,1.6595744680851063,3.5716595285110206,13,1308.0,0.17795124655725472,13,1308.0
160.0,16,87.0,1.7755102040816326,3.255998783550387,16,1064.0,0.13269130145606928,16,1064.0
165.0,14,128.0,2.6122448979591835,4.718667343656483,14,850.0,0.15649955457446446,14,850.0
170.0,14,145.0,2.9591836734693877,4.364841759944109,14,897.0,0.18508616472750944,14,897.0
175.0,18,219.0,4.9772727272727275,4.31357371142079,18,958.0,0.1844423261820571,18,958.0
180.0,18,262.0,5.954545454545454,2.5260726640377156,18,926.0,0.10990841295549227,18,926.0
185.0,17,301.0,5.901960784313726,4.454550508424179,17,793.0,0.2370441083896813,17,793.0
190.0,15,344.0,6.490566037735849,4.194036671745552,15,769.0,0.1685751224119111,15,769.0
195.0,19,422.0,8.115384615384615,3.3281976088147656,19,857.0,0.12167235977819889,19,857.0
200.0,25,462.0,9.428571428571429,2.687038913953865,25,897.0,0.10749381674909533,25,897.0
