step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,13.922308434096772,0,0.0,0.9709928417437523,0,0.0
10.0,0,0.0,0.0,11.187439566666034,0,0.0,0.7982982350468668,0,0.0
15.0,5,10.0,0.5555555555555556,6.312612839124179,5,10.0,0.37690560530374423,5,10.0
20.0,9,52.0,2.888888888888889,6.386320321638304,9,52.0,0.36734755415086223,9,52.0
25.0,6,68.0,2.9565217391304346,5.280896406191789,6,73.0,0.34076098569902713,6,73.0
30.0,8,105.0,5.0,7.097002913128499,8,105.0,0.3972096475485351,8,105.0
35.0,8,145.0,5.8,7.83227286124032,8,145.0,0.3601800589710146,8,145.0
40.0,10,189.0,7.269230769230769,7.712030610659085,10,189.0,0.46054370586931137,10,189.0
45.0,7,114.0,4.222222222222222,7.011972612061679,7,170.0,0.4802691534747245,7,170.0
50.0,11,158.0,6.076923076923077,6.745416480872208,11,158.0,0.33406615411805507,11,158.0
55.0,6,115.0,3.8333333333333335,7.168389336536981,6,155.0,0.331416599865672,6,155.0
60.0,10,159.0,6.625,6.892876439551635,10,159.0,0.3126977206897914,10,159.0
65.0,8,124.0,4.428571428571429,6.623603013682236,8,171.0,0.30972454077526984,8,171.0
70.0,3,120.0,5.0,7.912415105422045,3,143.0,0.40491005141899417,3,143.0
75.0,5,139.0,4.212121212121212,9.936902940896026,5,139.0,0.6319299540595251,5,139.0
80.0,5,164.0,5.466666666666667,10.294311454112615,5,164.0,0.6330539922262459,5,164.0
85.0,2,142.0,5.071428571428571,7.675879938388689,2,152.0,0.5043047253155055,2,152.0
90.0,10,176.0,7.6521739130434785,5.793009440897788,10,176.0,0.3171391791456823,10,176.0
95.0,12,236.0,8.74074074074074,5.8589807337649855,12,236.0,0.2978391945608257,12,236.0
100.0,10,253.0,9.73076923076923,5.551525429987162,10,275.0,0.3095157704505512,10,275.0
105.0,8,290.0,10.357142857142858,7.551737001056489,8,293.0,0.4400108369778725,8,293.0
110.0,5,242.0,7.5625,7.738713898482631,5,279.0,0.47510420304889495,5,279.0
115.0,10,284.0,9.466666666666667,7.324110726256004,10,284.0,0.41580107135965955,10,284.0
120.0,7,300.0,10.714285714285714,5.810564063823455,7,315.0,0.34113484677826994,7,315.0
125.0,9,339.0,11.689655172413794,6.142836719709241,9,341.0,0.3301775476329551,9,341.0
130.0,11,345.0,11.5,5.8881540808162365,11,359.0,0.26025308747869963,11,359.0
135.0,13,408.0,14.068965517241379,5.736804957758986,13,408.0,0.2834871859132026,13,408.0
140.0,11,427.0,14.724137931034482,5.5896419133086,11,454.0,0.30205372853684703,11,454.0
145.0,8,461.0,13.969696969696969,7.981738912456955,8,463.0,0.4359692936358373,8,463.0
150.0,8,412.0,11.771428571428572,7.984961397312153,8,458.0,0.46291570497211565,8,458.0
155.0,11,462.0,15.4,6.540340815211179,11,464.0,0.31677563200696224,11,464.0
160.0,13,490.0,14.848484848484848,4.689185699976021,13,512.0,0.2230787006061462,13,512.0
165.0,13,548.0,18.896551724137932,5.280819271632068,13,554.0,0.23634821199129094,13,554.0
170.0,11,543.0,15.970588235294118,5.216952369268276,11,572.0,0.2536620872886103,11,572.0
175.0,16,619.0,19.967741935483872,5.537623481213041,16,625.0,0.2280139540370495,16,625.0
180.0,12,640.0,20.0,5.012246702554737,12,675.0,0.22466225237161855,12,675.0
185.0,10,678.0,19.941176470588236,6.6978973433537385,10,693.0,0.3683466359274586,10,693.0
190.0,12,653.0,18.13888888888889,6.115079446633798,12,694.0,0.34379298314605483,12,694.0
195.0,19,728.0,21.41176470588235,5.447026946450672,19,743.0,0.23204589599814268,19,743.0
200.0,23,830.0,23.055555555555557,4.553142156326853,23,845.0,0.17935593591275545,23,845.0
205.0,18,851.0,25.78787878787879,2.9010026018781536,18,911.0,0.14841954819929426,18,911.0
210.0,14,854.0,24.4,5.2917526044420695,14,926.0,0.2914340636210959,14,926.0
215.0,8,785.0,22.428571428571427,4.369206951299017,8,910.0,0.15845285368098605,8,910.0
220.0,13,841.0,19.558139534883722,6.355799137383666,13,907.0,0.36282425728748446,13,907.0
225.0,16,875.0,21.875,5.389411113060308,16,947.0,0.2889715198712862,16,947.0
230.0,13,897.0,20.86046511627907,4.691990156213113,13,954.0,0.22341225855426583,13,954.0
235.0,16,967.0,24.175,6.187380607778846,16,986.0,0.251258646445305,16,986.0
240.0,16,1047.0,26.175,6.650649507776239,16,1051.0,0.2691347761645169,16,1051.0
245.0,18,1135.0,30.675675675675677,6.363738004197061,18,1135.0,0.2714536926332385,18,1135.0
250.0,13,1109.0,31.685714285714287,4.985096048610799,13,1164.0,0.23638940522844434,13,1164.0
255.0,17,1186.0,32.94444444444444,5.964198137962737,17,1186.0,0.34778774245907573,17,1186.0
260.0,12,1228.0,30.7,6.624077640110732,12,1245.0,0.3494511665747701,12,1245.0
265.0,12,1288.0,34.810810810810814,6.3879676067713005,12,1288.0,0.294035724413387,12,1288.0
270.0,13,1206.0,32.5945945945946,5.752479496775587,13,1287.0,0.2872480389177895,13,1287.0
275.0,15,1268.0,39.625,5.548164565409557,15,1273.0,0.23995928329803132,15,1273.0
280.0,19,1355.0,37.638888888888886,5.347680890433456,19,1355.0,0.22089979692764922,19,1355.0
285.0,16,1390.0,44.83870967741935,4.201816099674081,16,1425.0,0.2216643177987051,16,1425.0
290.0,14,1430.0,37.63157894736842,6.1448601147696245,14,1457.0,0.3768991862874565,14,1457.0
295.0,8,1391.0,34.775,6.998858667086995,8,1449.0,0.40892838224782474,8,1449.0
300.0,16,1456.0,38.31578947368421,6.046424475204553,16,1470.0,0.28827849716085313,16,1470.0
305.0,17,1508.0,39.68421052631579,4.858693636789503,17,1535.0,0.20247924923993424,17,1535.0
310.0,15,1569.0,42.4054054054054,5.90801899336021,15,1586.0,0.25512238548016636,15,1586.0
315.0,16,1603.0,43.32432432432432,4.690063817197304,16,1639.0,0.23627579306799418,16,1639.0
320.0,21,1701.0,48.6,4.043965919014374,21,1718.0,0.18638815137448653,21,1718.0
325.0,19,1750.0,44.87179487179487,4.75663990356647,19,1795.0,0.25809898714702,19,1795.0
330.0,15,1797.0,48.567567567567565,5.5052751529569575,15,1818.0,0.270300209704062,15,1818.0
335.0,11,1785.0,43.53658536585366,6.110021348585377,11,1839.0,0.3037263757925947,11,1839.0
340.0,20,1867.0,49.13157894736842,4.514087141283626,20,1888.0,0.14366480221743322,20,1888.0
345.0,20,1931.0,49.51282051282051,4.448063190301735,20,1970.0,0.1991163743119223,20,1970.0
350.0,17,1993.0,53.86486486486486,4.437881950110415,17,2013.0,0.15917710363250095,17,2013.0
355.0,15,2012.0,51.58974358974359,5.109030983923441,15,2060.0,0.2405052472825365,15,2060.0
360.0,20,2101.0,61.794117647058826,3.0814413034439907,20,2121.0,0.07455627210399597,20,2121.0
365.0,20,2165.0,49.20454545454545,4.863072951891659,20,2204.0,0.29488050223563067,20,2204.0
370.0,15,2223.0,55.575,5.216995512353219,15,2245.0,0.285269042404315,15,2245.0
375.0,15,2195.0,47.71739130434783,5.1436501713096865,15,2267.0,0.24385636782692094,15,2267.0
380.0,22,2291.0,55.8780487804878,4.505225232040122,22,2312.0,0.1483364452342161,22,2312.0
385.0,20,2358.0,53.59090909090909,4.5172854035529975,20,2399.0,0.19046618585282196,20,2399.0
390.0,19,2437.0,62.48717948717949,4.466779597999621,19,2461.0,0.20149483355327058,19,2461.0
395.0,16,2451.0,59.78048780487805,4.8745779844599335,16,2511.0,0.2303083588892151,16,2511.0
400.0,23,2551.0,60.73809523809524,4.294814338412515,23,2580.0,0.20995050034061513,23,2580.0
405.0,23,2627.0,59.70454545454545,4.254283440463912,23,2674.0,0.2440110801534818,23,2674.0
410.0,18,2686.0,63.95238095238095,4.114174566935695,18,2734.0,0.20520967426886677,18,2734.0
415.0,20,2697.0,58.630434782608695,4.050348383570665,20,2788.0,0.19269764419312504,20,2788.0
420.0,25,2811.0,66.92857142857143,3.518522274789184,25,2864.0,0.11771755500683069,25,2864.0
425.0,25,2883.0,62.67391304347826,3.662209135826938,25,2957.0,0.1608960290388403,25,2957.0
430.0,20,2949.0,68.5813953488372,4.097815849926441,20,3012.0,0.15638941726713032,20,3012.0
435.0,20,3036.0,58.38461538461539,6.910794460736325,20,3060.0,0.3696063831992282,20,3060.0
440.0,18,3023.0,62.979166666666664,5.89066575827862,18,3100.0,0.31201590758911457,18,3100.0
445.0,25,3136.0,62.72,4.826971176001621,25,3160.0,0.20774636198915553,25,3160.0
450.0,26,3227.0,70.15217391304348,4.369889783386202,26,3274.0,0.16597501297842424,26,3274.0
455.0,21,3306.0,73.46666666666667,4.578732871453323,21,3345.0,0.19199565572546262,21,3345.0
460.0,18,3251.0,73.88636363636364,4.70683336955227,18,3362.0,0.2041300198486711,18,3362.0
465.0,19,3336.0,75.81818181818181,5.18303175279984,19,3372.0,0.22885042060998886,19,3372.0
470.0,20,3402.0,73.95652173913044,5.326113439353584,20,3450.0,0.2573894177050202,20,3450.0
475.0,19,3473.0,78.93181818181819,5.609220279305439,19,3509.0,0.28759510168328517,19,3509.0
480.0,14,1191.0,27.697674418604652,4.153995348935546,14,2665.0,0.19353602688023117,14,2665.0
485.0,17,95.0,2.159090909090909,5.0458749815619095,17,1051.0,0.2283064724365145,17,1051.0
490.0,16,128.0,2.9767441860465116,4.430652714507757,16,1102.0,0.1994458713885447,16,1102.0
495.0,19,183.0,4.255813953488372,4.882142007247452,19,1135.0,0.19554448672447353,19,1135.0
500.0,15,144.0,3.4285714285714284,4.603492404873299,15,1165.0,0.20433426725640585,15,1165.0
505.0,19,220.0,5.116279069767442,5.373750430960848,19,1186.0,0.2828503835497912,19,1186.0
510.0,18,264.0,5.617021276595745,5.779441634532904,18,1242.0,0.3185053059514434,18,1242.0
515.0,15,308.0,7.0,4.850179367281172,15,1269.0,0.1978172913976293,15,1269.0
520.0,16,218.0,4.844444444444444,4.668031292548652,16,856.0,0.2190309754496856,16,856.0
525.0,19,267.0,6.675,3.9857835437521416,19,394.0,0.14907637803971513,19,394.0
530.0,22,164.0,3.727272727272727,3.7018552037999326,22,406.0,0.15627176372936216,22,406.0
535.0,25,254.0,6.0476190476190474,3.906153908260181,25,407.0,0.09936790300664859,25,407.0
540.0,24,274.0,6.682926829268292,3.475314843146228,24,480.0,0.13190051483358653,24,480.0
545.0,19,235.0,5.465116279069767,4.7838031833596455,19,473.0,0.21781631277725166,19,473.0
550.0,13,256.0,5.565217391304348,6.2484243854406625,13,463.0,0.2956593626562465,13,463.0
555.0,12,139.0,3.088888888888889,4.816864393329755,12,451.0,0.20337011916770567,12,451.0
560.0,17,191.0,4.5476190476190474,4.728816081238439,17,422.0,0.230025083467206,17,422.0
565.0,19,244.0,5.809523809523809,3.6404355616209045,19,471.0,0.1342005440185725,19,471.0
570.0,19,293.0,6.976190476190476,4.8162311460182305,19,500.0,0.22265902732361093,19,500.0
