step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,12.448133071211254,0,0.0,0.943584213432311,0,0.0
10.0,0,0.0,0.0,11.94974889342344,0,0.0,0.9152469093758393,0,0.0
15.0,4,7.0,0.3888888888888889,7.442614697692772,4,7.0,0.5001552892684179,4,7.0
20.0,9,42.0,2.3333333333333335,6.437482538304539,9,42.0,0.3668402311127622,9,42.0
25.0,8,49.0,2.227272727272727,5.179533410478776,8,63.0,0.32448863107891035,8,63.0
30.0,11,103.0,4.904761904761905,5.54385278766516,11,103.0,0.29591923573068657,11,103.0
35.0,8,79.0,3.16,5.096056902551328,8,122.0,0.2685343843344956,8,122.0
40.0,6,91.0,3.3703703703703702,7.289783932406368,6,110.0,0.49342210160722794,6,110.0
45.0,7,124.0,4.0,6.934960679995888,7,133.0,0.4137933791772119,7,133.0
50.0,15,181.0,6.033333333333333,5.9079592321639565,15,190.0,0.2851909312883927,15,190.0
55.0,12,83.0,2.7666666666666666,4.848971763080763,12,184.0,0.2380874434720682,12,184.0
60.0,12,128.0,4.266666666666667,5.899297241307975,12,150.0,0.19890975267242023,12,150.0
65.0,19,205.0,6.40625,4.742329429164183,19,227.0,0.19922061413051798,19,227.0
70.0,20,305.0,10.892857142857142,2.6282503333546003,20,327.0,0.12787337744401167,20,327.0
75.0,20,244.0,6.421052631578948,4.460797946984336,20,367.0,0.3137282038139737,20,367.0
80.0,10,112.0,2.9473684210526314,6.332660942884064,10,327.0,0.37550253266893174,10,327.0
85.0,10,116.0,2.6363636363636362,5.791615309494707,10,339.0,0.27443085028537134,10,339.0
90.0,17,188.0,4.7,3.935923215996503,17,411.0,0.1582569053887599,17,411.0
95.0,18,123.0,3.236842105263158,2.2880547598595244,18,433.0,0.13370081463490316,18,433.0
100.0,23,201.0,5.153846153846154,3.3526815732537876,23,434.0,0.1406374532725302,23,434.0
105.0,27,325.0,7.558139534883721,4.633181885045377,27,535.0,0.15612001805760028,27,535.0
110.0,30,463.0,10.065217391304348,3.777474911390568,30,673.0,0.15790195453983535,30,673.0
115.0,33,622.0,14.465116279069768,3.1568968290420534,33,832.0,0.18577464217620385,33,832.0
120.0,35,790.0,18.372093023255815,1.2823571599241044,35,1000.0,0.051634499336406695,35,1000.0
125.0,33,747.0,15.893617021276595,2.359857906719097,33,1057.0,0.0939656941374708,33,1057.0
130.0,26,540.0,11.25,3.309105215331295,26,971.0,0.09796079539157214,26,971.0
135.0,21,373.0,7.612244897959184,5.010065978908223,21,811.0,0.17120036974771508,21,811.0
140.0,13,168.0,3.9069767441860463,4.436897082110577,13,791.0,0.20514615393167018,13,791.0
145.0,15,194.0,4.409090909090909,4.347689097889688,15,858.0,0.27145722020066015,15,858.0
150.0,22,269.0,5.489795918367347,3.884705253931757,22,933.0,0.2424935501559461,22,933.0
155.0,28,395.0,7.9,1.9712584170459906,28,1059.0,0.12467198837837039,28,1059.0
160.0,37,556.0,10.10909090909091,1.2606248361841925,37,1222.0,0.04651200731968294,37,1222.0
165.0,47,773.0,14.054545454545455,1.0153756910865375,47,1439.0,0.016341573154207985,47,1439.0
170.0,47,848.0,14.87719298245614,1.4245454826874193,47,1546.0,0.04837154086773248,47,1546.0
175.0,37,808.0,14.690909090909091,2.2654493628391736,37,1505.0,0.07485078059142865,37,1505.0
180.0,35,812.0,14.763636363636364,2.1284577182387943,35,1681.0,0.05467816138354569,35,1681.0
185.0,32,787.0,14.053571428571429,2.0841092043810168,32,1845.0,0.14497708370117535,32,1845.0
190.0,25,769.0,13.981818181818182,1.7743561688730283,25,1846.0,0.12017801723002229,25,1846.0
195.0,27,847.0,14.116666666666667,2.3996716090455563,27,1718.0,0.0994517550396112,27,1718.0
200.0,31,968.0,15.868852459016393,2.028162584166372,31,1868.0,0.0656690110933297,31,1868.0
205.0,37,1106.0,18.131147540983605,1.449109540037599,37,2034.0,0.07639538929343657,37,2034.0
210.0,40,1287.0,21.8135593220339,0.8876112110812345,40,2223.0,0.06199284099719098,40,2223.0
215.0,43,1422.0,22.93548387096774,0.6364382052944478,43,2289.0,0.03309643145791357,43,2289.0
220.0,40,1523.0,21.450704225352112,3.0609483162466438,40,2232.0,0.15884793411778217,40,2232.0
225.0,39,1640.0,22.465753424657535,3.9195171008801255,39,2122.0,0.15171778124710728,39,2122.0
230.0,34,1462.0,20.885714285714286,3.008774030072317,34,2171.0,0.12572158457332236,34,2171.0
235.0,31,1532.0,23.56923076923077,3.057135466787075,31,2151.0,0.11319814867741888,31,2151.0
240.0,35,1663.0,24.82089552238806,2.651405268666233,35,2183.0,0.07558166904995874,35,2183.0
245.0,34,1789.0,25.92753623188406,2.870173796875009,34,2192.0,0.10177366451319876,34,2192.0
250.0,34,1913.0,28.55223880597015,1.95821463622027,34,2344.0,0.05509571039495551,34,2344.0
255.0,38,2078.0,29.267605633802816,2.5160435071125993,38,2516.0,0.11915310375198804,38,2516.0
260.0,38,2218.0,32.14492753623188,2.2558095031239263,38,2612.0,0.10477626914096386,38,2612.0
265.0,35,2344.0,33.014084507042256,2.372939644288774,35,2572.0,0.09335455963744572,35,2572.0
270.0,37,2426.0,33.69444444444444,2.1910732563378246,37,2676.0,0.05842584116943209,37,2676.0
275.0,44,2624.0,38.028985507246375,1.4514583025477032,44,2887.0,0.050131562769307435,44,2887.0
280.0,44,2798.0,40.55072463768116,1.342398508624909,44,3084.0,0.05730119981112878,44,3084.0
285.0,53,3047.0,42.91549295774648,1.0625373637847275,53,3311.0,0.022318178384934634,53,3311.0
290.0,58,3328.0,41.6,1.9990180938404858,58,3592.0,0.09682016224169243,58,3592.0
295.0,61,2602.0,33.35897435897436,1.2921435043878042,61,3536.0,0.08218923259921213,61,3536.0
300.0,56,1599.0,20.5,1.6688349208445383,56,3161.0,0.06293618443512296,56,3161.0
305.0,55,1271.0,15.8875,2.3557366367498545,55,2590.0,0.04609811025478735,55,2590.0
310.0,44,877.0,11.539473684210526,2.3523348960124357,44,2701.0,0.08077646002474592,44,2701.0
315.0,35,664.0,8.853333333333333,3.162636222037787,35,2669.0,0.12903459458938787,35,2669.0
320.0,35,544.0,7.771428571428571,2.8265841062990362,35,2762.0,0.1077000499404544,35,2762.0
325.0,38,441.0,6.391304347826087,2.190404757960447,38,2943.0,0.10930434564635416,38,2943.0
330.0,38,386.0,5.594202898550725,2.0563440462099436,38,2866.0,0.11640666488243676,38,2866.0
335.0,37,432.0,6.084507042253521,2.3888604407325786,37,2474.0,0.09695121362301362,37,2474.0
340.0,39,513.0,6.9324324324324325,3.065412013763435,39,2203.0,0.09034323534681536,39,2203.0
345.0,37,512.0,7.111111111111111,2.5722849608812743,37,2238.0,0.09592892862180283,37,2238.0
350.0,37,518.0,7.4,2.957286648540904,37,2139.0,0.11051996732080788,37,2139.0
355.0,32,290.0,4.393939393939394,2.449944305899252,32,2154.0,0.07987951096240796,32,2154.0
360.0,33,282.0,4.476190476190476,2.830568764658405,33,2163.0,0.06734306167370104,33,2163.0
365.0,29,243.0,3.626865671641791,3.772568572091647,29,2137.0,0.18322044193848033,29,2137.0
370.0,27,236.0,3.5757575757575757,3.566235635332575,27,1927.0,0.16808608657489438,27,1927.0
375.0,23,192.0,2.8656716417910446,3.1185744579089105,23,1842.0,0.12325455719557497,23,1842.0
380.0,31,190.0,2.923076923076923,2.681442532557421,31,1696.0,0.07149663063045741,31,1696.0
385.0,34,206.0,3.2698412698412698,2.649519832808242,34,1818.0,0.09845087169768864,34,1818.0
390.0,34,287.0,4.864406779661017,2.377067802217946,34,1965.0,0.07898618304559742,34,1965.0
395.0,30,278.0,4.87719298245614,2.177455474471796,30,1999.0,0.06099387064552537,30,1999.0
400.0,26,280.0,4.590163934426229,3.228897712398042,26,1949.0,0.16851839846151237,26,1949.0
405.0,32,356.0,5.741935483870968,2.7701790111633096,32,2041.0,0.11565960310843229,32,2041.0
410.0,45,560.0,8.88888888888889,1.5072086541555099,45,2245.0,0.046456077206834444,45,2245.0
415.0,52,809.0,13.483333333333333,1.047663315009724,52,2497.0,0.03698573698977505,52,2497.0
420.0,54,1073.0,18.5,0.9331433579792562,54,2759.0,9.248725450668364e-05,54,2759.0
425.0,48,1219.0,20.316666666666666,1.6805740090672476,48,2900.0,0.04462590696253684,48,2900.0
430.0,39,1279.0,22.839285714285715,1.8252551471461405,39,2928.0,0.04834345164917576,39,2928.0
435.0,35,1163.0,18.171875,3.69316914523133,35,2832.0,0.17929622752118696,35,2832.0
440.0,31,898.0,14.966666666666667,3.9144173104295517,31,2524.0,0.18260168712120758,31,2524.0
445.0,28,643.0,10.898305084745763,3.987017402683632,28,2441.0,0.1728071809810114,28,2441.0
