step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,TL_stopped,TL_accumulated_waiting_time,TL_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
15.0,0,0.0,0.0,12.005361308751162,0,0.0,0.7759637339168087,0,0.0
20.0,0,0.0,0.0,15.23946344122955,0,0.0,0.9842645078578072,0,0.0
25.0,0,0.0,0.0,15.250029974074227,0,0.0,0.9844743981930604,0,0.0
30.0,0,0.0,0.0,14.466736866808269,0,0.0,0.9338592735239432,0,0.0
35.0,0,0.0,0.0,14.462585190154407,0,0.0,0.9913134352948165,0,0.0
40.0,0,0.0,0.0,14.010640850165322,0,0.0,0.9650633601908177,0,0.0
45.0,0,0.0,0.0,13.916165243150346,0,0.0,0.9509452746796283,0,0.0
50.0,0,0.0,0.0,14.455721721914642,0,0.0,0.9873228008358029,0,0.0
55.0,0,0.0,0.0,13.76046651762448,0,0.0,0.9488480798230733,0,0.0
60.0,0,0.0,0.0,13.707936553788773,0,0.0,0.9504835288572441,0,0.0
65.0,1,1.0,0.08333333333333333,11.711983640094019,1,1.0,0.8822805206546668,1,1.0
70.0,1,6.0,0.5,12.184196155275117,1,6.0,0.8926358303126066,1,6.0
75.0,1,11.0,0.7857142857142857,12.501154747067602,1,11.0,0.8868470877327472,1,11.0
80.0,2,17.0,1.2142857142857142,11.850206313805915,2,17.0,0.8309113827844671,2,17.0
85.0,2,27.0,1.6875,11.730552300540936,2,27.0,0.8403296649169962,2,27.0
90.0,2,37.0,2.3125,11.527852831535604,2,37.0,0.8269713859302237,2,37.0
95.0,3,50.0,2.5,10.178677360886567,3,50.0,0.7373271691523747,3,50.0
100.0,3,42.0,1.75,10.319373172980177,3,69.0,0.7492830906079725,3,69.0
105.0,4,58.0,2.1481481481481484,10.518058957162774,4,58.0,0.7993562211498594,4,58.0
110.0,4,78.0,2.689655172413793,10.899930787500596,4,78.0,0.8060884021556417,4,78.0
115.0,5,100.0,3.4482758620689653,9.939734648049745,5,100.0,0.705569043981403,5,100.0
120.0,5,35.0,1.1666666666666667,9.95327841507638,5,134.0,0.6930931053734389,5,134.0
125.0,4,32.0,0.9696969696969697,9.857941606450588,4,38.0,0.7539443881762923,4,38.0
130.0,5,57.0,1.6764705882352942,10.455900932921114,5,57.0,0.7879897946780393,5,57.0
135.0,5,82.0,2.2162162162162162,11.285704991433537,5,82.0,0.8075802430640023,5,82.0
140.0,4,80.0,2.0,11.717802722966224,4,106.0,0.8104885735984391,4,106.0
145.0,4,100.0,2.380952380952381,11.736824982389747,4,100.0,0.8266540249895987,4,100.0
150.0,6,126.0,2.739130434782609,11.240921193092616,6,126.0,0.7756804849632937,6,126.0
155.0,9,166.0,3.5319148936170213,10.440629863678401,9,166.0,0.6920199463958163,9,166.0
160.0,12,221.0,4.25,9.685636867486405,12,221.0,0.631358328979748,12,221.0
165.0,14,252.0,4.581818181818182,9.427600783227701,14,292.0,0.6159841100928267,14,292.0
170.0,17,331.0,5.706896551724138,9.314784800204672,17,331.0,0.6226844872294538,17,331.0
175.0,17,407.0,6.4603174603174605,9.432582831057383,17,416.0,0.6292669980768212,17,416.0
180.0,18,495.0,7.279411764705882,9.312288339577853,18,495.0,0.6218340266181979,18,495.0
185.0,14,341.0,5.014705882352941,9.113646044911583,14,587.0,0.6180387480483033,14,587.0
190.0,12,314.0,4.1866666666666665,9.525332330863618,12,318.0,0.7100441322691267,12,318.0
195.0,15,385.0,4.935897435897436,9.80803055898274,15,389.0,0.6945946992190005,15,389.0
200.0,19,474.0,5.851851851851852,9.938733017003448,19,478.0,0.6710974301958548,19,478.0
205.0,17,295.0,3.6419753086419755,9.355157871991668,17,576.0,0.6142488811262107,17,576.0
210.0,7,62.0,0.7380952380952381,9.904963044219432,7,156.0,0.7434159052967226,7,156.0
215.0,11,102.0,1.108695652173913,9.99557252140899,11,196.0,0.7049943371472286,11,196.0
220.0,17,182.0,1.8571428571428572,10.112912303000757,17,276.0,0.6839240112101447,17,276.0
225.0,22,262.0,2.5686274509803924,10.049303254928255,22,379.0,0.6467614762042998,22,379.0
230.0,27,388.0,3.6261682242990654,9.730348081194961,27,482.0,0.6306580323982335,27,482.0
235.0,24,443.0,3.8859649122807016,9.628709024905351,24,619.0,0.6294967932119747,24,619.0
240.0,24,514.0,4.319327731092437,9.466017801615026,24,525.0,0.6299422537117497,24,525.0
245.0,30,657.0,5.429752066115703,9.25408574912309,30,661.0,0.5862626502388458,30,661.0
250.0,35,825.0,6.7073170731707314,9.226793438516761,35,829.0,0.5735414374175972,35,829.0
255.0,38,1009.0,8.203252032520325,9.375878448619748,38,1013.0,0.5735549390011393,38,1013.0
260.0,39,1200.0,9.448818897637794,9.290006899816598,39,1204.0,0.576598638338684,39,1204.0
265.0,42,1403.0,10.792307692307693,8.852112741180976,42,1407.0,0.5469940376097754,42,1407.0
270.0,46,1543.0,11.86923076923077,8.375354008675044,46,1632.0,0.5321109244617068,46,1632.0
275.0,46,1710.0,12.857142857142858,7.910139237878358,46,1740.0,0.521998314027775,46,1740.0
280.0,46,1505.0,11.066176470588236,7.792116267414482,46,1988.0,0.5054046803236998,46,1988.0
285.0,26,303.0,2.1041666666666665,7.6879140837022755,26,1369.0,0.5180972646968555,26,1369.0
290.0,21,153.0,1.02,7.904221634217694,21,1474.0,0.5173078709686414,21,1474.0
